Механизм,ID,Тип,М1,М2,М3,М4,М5,П1,П2,П3,П4,П5,П6,П7,П8,П9,П10,П11,П12,П13,П14,Всего_пресетов
Точный перенос цифр/дат/имён,1,скрипт+LLM,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
Проверка выполнения запроса,2,LLM,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,10
Сверка сумм,3,скрипт,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4
Проверка границ,4,скрипт+LLM,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,6
Формат документа,5,скрипт,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,7
Хронология,6,скрипт+LLM,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,8
Противоречия,7,LLM,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,12
Формат слайдов,8,скрипт,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Согласованность pptx/html,9,скрипт,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Скрытые допущения,10,LLM,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,4
Парадоксы,11,LLM,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4
Обратная логика,12,LLM,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,5
Декомпозиция фактов,13,LLM,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,7
Оценка уверенности,14,LLM,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,6
Полнота,15,LLM,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,8
Спор за/против,16,LLM,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,4
Граф причин-следствий,17,LLM,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3
Триангуляция источников,18,LLM,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,4
Происхождение,19,LLM,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,5
Двойной расчёт,20,LLM,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
Сверка вход-выход,21,LLM,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,5
Согласованность файлов,22,скрипт+LLM,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3
Метаморфическое тестирование,23,LLM,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3
Diff было/стало,24,скрипт,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,4
Защита от регрессии,25,LLM,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3
Дрейф смысла,26,LLM,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,4
Моделирование аудитории,27,LLM,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3
Эпистемический статус,28,LLM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3
Кросс-модальная проверка,29,LLM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
Стресс-тест выводов,30,LLM,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,5
Проверка адресата,31,LLM,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,6
Ссылочная целостность,32,скрипт+LLM,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,6
